name,email,role,job_level,Manager,Start_date,nationality,residence,Gender,business_group,staff_id,username,position,position_level,styles,industries,software,citizenship,date_of_mobility,previous_role,previous_manager,previous_job_level,previous_functional_group
Heidi Mora,heidi.mora@domain.com,Creative,1b,Ayla Glenn,04-10-21,Indonesia,Indonesia,Male,Creative,10001,heidi.mora,,,[],[Film],[Other],Indonesia,01-02-23,Creative,Ayla Glenn,1,Creative
Heidi Mora,heidi.mora@domain.com,Creative,1b,Ayla Glenn,04-10-21,Indonesia,Indonesia,Male,Creative,10001,heidi.mora,,,[],[Film],[Other],Indonesia,02-05-23,Creative,Ayla Glenn,1,Creative
Heidi Mora,heidi.mora@domain.com,Creative,1b,Ayla Glenn,04-10-21,Indonesia,Indonesia,Male,Creative,10001,heidi.mora,,,[],[Film],[Other],Indonesia,05-06-23,Creative,Ayla Glenn,1,Creative
Heidi Mora,heidi.mora@domain.com,Creative,1b,Ayla Glenn,04-10-21,Indonesia,Indonesia,Male,Creative,10001,heidi.mora,,,[],[Film],[Other],Indonesia,24-09-23,Creative,Ayla Glenn,1,Creative
Heidi Mora,heidi.mora@domain.com,Creative,1b,Ayla Glenn,04-10-21,Indonesia,Indonesia,Male,Creative,10001,heidi.mora,,,[],[Film],[Other],Indonesia,06-06-24,Creative,Ayla Glenn,1a,Creative
Arturo Mann,arturo.mann@domain.com,Customer Success Manager,2b,Scarlett Henderson,04-04-22,South Africa,South Africa,Female,Business Function,10002,arturo.mann,ADMIN,4,"[Minimalistic, Corporate, Modern]",,"[Illustrator, Photoshop, PowerPoint, Keynote, InDesign]",South Africa,24-09-23,Customer Success Manager,Scarlett Henderson,2,Business Function
Arturo Mann,arturo.mann@domain.com,Customer Success Manager,2b,Scarlett Henderson,04-04-22,South Africa,South Africa,Female,Business Function,10002,arturo.mann,ADMIN,4,"[Minimalistic, Corporate, Modern]",,"[Illustrator, Photoshop, PowerPoint, Keynote, InDesign]",South Africa,13-10-23,Customer Success Manager,Scarlett Henderson,2a,Business Function
Arturo Mann,arturo.mann@domain.com,Customer Success Manager,2b,Scarlett Henderson,04-04-22,South Africa,South Africa,Female,Business Function,10002,arturo.mann,ADMIN,4,"[Minimalistic, Corporate, Modern]",,"[Illustrator, Photoshop, PowerPoint, Keynote, InDesign]",South Africa,03-06-24,Customer Success Manager,Scarlett Henderson,2a,Business Function
Paislee Krueger,paislee.krueger@domain.com,Senior AP/AR Associate,2b,Gwendolyn Powell,04-04-22,Argentina,Argentina,Female,Business Function,10003,paislee.krueger,CORE,4,,[Other],[],Argentina,22-11-22,Finance Associate,,,Business Function
Paislee Krueger,paislee.krueger@domain.com,Senior AP/AR Associate,2b,Gwendolyn Powell,04-04-22,Argentina,Argentina,Female,Business Function,10003,paislee.krueger,CORE,4,,[Other],[],Argentina,14-02-23,Finance Associate,,,Business Function
